source	active_ref_file	matched_token
.agent-context	GEMINI.md	.agent-context
AGENT_READ_CONTEXT_INDEX.md	scripts/stage-numbered-download-readme-docs.py	AGENT_READ_CONTEXT_INDEX.md
AGENT_READ_CONTEXT_INDEX.md	scripts/perfect_weight/00_generate_perfection_scripts.py	AGENT_READ_CONTEXT_INDEX.md
AGENT_READ_CONTEXT_INDEX.md	scripts/perfect_weight/08_next_100_actions.py	AGENT_READ_CONTEXT_INDEX.md
AGENT_READ_CONTEXT_INDEX.md	scripts/perfect_weight/09_master_readme_builder.py	AGENT_READ_CONTEXT_INDEX.md
AGENT_READ_CONTEXT_INDEX.md	scripts/filename_standardization/standardize_context_filenames.py	AGENT_READ_CONTEXT_INDEX.md
AGENT_READ_CONTEXT_INDEX.md	scripts/runtime_sources/create_active_runtime_source_layout.py	AGENT_READ_CONTEXT_INDEX.md
AGENTS_README.md	scripts/perfect_weight/00_generate_perfection_scripts.py	AGENTS_README.md
AGENTS_README.md	scripts/perfect_weight/08_next_100_actions.py	AGENTS_README.md
AGENTS_README.md	scripts/filename_standardization/standardize_context_filenames.py	AGENTS_README.md
AGENTS_README.md	scripts/runtime_sources/create_active_runtime_source_layout.py	AGENTS_README.md
.sandbox	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	.sandbox
.nos	.gitignore	.nos
system	.gitignore	system
system	GEMINI.md	system
system	README.md	system
system	scripts/build_files.sh	system
system	scripts/perfect_weight/00_generate_perfection_scripts.py	system
system	scripts/perfect_weight/08_next_100_actions.py	system
system	scripts/runtime_sources/create_active_runtime_source_layout.py	system
system	src/runtime/readerControls.ts	system
system	src/runtime/listeners/thematicListener.ts	system
system	src/data-layer/reference-data/author.json	system
system	src/data-layer/07_Build_Manifests/Writing Agent App. Source Doc. (10) [NEUTRON].txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_1_-_Stardust_to_Stardust_.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1-_Stardust_to_Stardust.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3-_Lift_Up.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1-_Stardust_to_Stardust.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1_-_Stardust_to_Stardust.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_5-_The_Snare.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(C)Chapter_8:_Sea_People.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_Stardust_to_Stardust.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_1-_Stardust_to_Stardust.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_4-_Pilgrimage.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter_4_-_Pilgrimage.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_3-_Lift_Up.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_5_-_The_Snare.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/(G)_Final_)_Chapter:_10_-_Forsaken.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_4:_Pilgrimage.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/1.0_Revision.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/10.0_MASTER_SYSTEM_FOR_CHAPTER_REVISION.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/11.0_Final_Revision.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/4.0_Psychology_Guide.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/2.0_This_is_the_critical_adjustment—the_final_layer_that_elevates_philosophical_storytelling_into_timeless,_devastating_human_tragedy.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/5.0_Final_Guide.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/9.0_Aesthetic.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter:_8_(Final).txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_10_Version_F.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/The_Weight_of_the_Sky:_The_Fall_into_Megiddo.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/THE_WEIGHT_OF_THE_SKY-_MASTER_COMPENDIUM_(SINGULARITY_v.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Untitled_document.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_2-_Living_Sacrifice.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/3.0_Final_.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/3.0_Scientific_Guide.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/13.0_GENERAL_PRINCIPLES.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/2.0_Critique_／_Analysis_Guide.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/5.0_Psychology_Guide.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter 3 - Commerciality and Marketing 3.0.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/6.0_SYNTHESIS_MANDATE.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/7.0_Nuclear_Edit!!!!_(CRITICAL!_DIRE!_EMERGENCY!!!).txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter2_Weight_of_the_Sky.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter:_1_-_Stardust_to_Stardust.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_10_Forsaken_FINAL_DEFINITIVE.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_2_-_Commerciality_and_Marketing_3.0.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_3_-_Master_Revision_Prompt_2.0.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_3_Analysis_&_Guides.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_4:_Pilgrimage.txt	system
system	src/data-layer/ingestion-buffer/gdrive_raw/Final Revision (Generalized For All Chapters).txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/026__AI_CHECKPOINT_FINAL.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/031__AI_READY_CHECKPOINT.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/024__Aesthetic___Implementation_Mandate_(1).txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/029__AI_INFORMATION_INTUITION.md	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/034__AIM_BLUEPRINT.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/071__CLAUDE_HONEST_ASSESSMENT_20260513.md	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/072__CLAUDE_HONEST_ASSESSMENT_v2_20260513.md	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/097__GEMINI_CLI_PENULTIMATE_OMEGA_PROMPT.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/089__First_Future_Feature.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/107__Here_is_the_absolute_technical,_structural,_and_behavioral_inventory_of_every_single_element_that_must_exist_within_your_4-layer_UI-UX_narrative_runtime_environment.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/013__Writing_Agent_App._Source_Doc._(4)_[TERMUX].txt.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/014__Writing_Agent_App._Source_Doc._(8)_[COMBINED]_(1).txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/077__CONTRADICTION_MAP.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/097__GEMINI_CLI_PENULTIMATE_OMEGA_PROMPT.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/123__NEW_SEC_DOC_(1)_(1).txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/124__NEW_SEC_DOC_(1)_(2).txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/134__NOS_INTEGRATION_BLUEPRINT.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/140__NOS_Master_Diagnostic.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/154__Project_Checkpoint_2.txt	system
system	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/199__Termux_Checkpoint_(w-_Gemini_1_(1).txt	system
system	src/services/orchestration-engine/orchestrator.py	system
system	src/services/document-analyzer/synthesis-engine.ts	system
system	src/services/ingestion/pipeline.ts	system
system	src/services/orchestration-engine/providers/base.ts	system
system	src/services/orchestration-engine/providers/openai.ts	system
system	src/services/orchestration-engine/providers/gemini.ts	system
system	src/services/orchestration-engine/providers/groq.ts	system
system	src/services/orchestration-engine/providers/anthropic.ts	system
system	src/components/ui/memory-panel.tsx	system
system	src/components/layers/cinema/TelemetryOverlay.tsx	system
system	src/components/layers/canvas/front-matter/AboutAuthor.tsx	system
system	src/components/ui/front-matter/TitleCover.tsx	system
system	src/components/ui/front-matter/Synopsis.tsx	system
system	src/components/ui/front-matter/AboutAuthor.tsx	system
system	src/app/api/agent/route.ts	system
system	src/app/api/health/route.ts	system
Build	.gitignore	Build
Build	next.config.js	Build
Build	scripts/perfect_weight/00_generate_perfection_scripts.py	Build
Build	scripts/perfect_weight/08_next_100_actions.py	Build
Build	.github/workflows/build-and-deploy.yml	Build
Build	src/data-layer/ingestion-buffer/gdrive_raw/12.0_Perfection.txt	Build
Build	src/data-layer/ingestion-buffer/gdrive_raw/2.0_Critique_／_Analysis_Guide.txt	Build
Build	src/data-layer/ingestion-buffer/gdrive_raw/Chapter_1_Integration_2.0.txt	Build
Build	src/data-layer/ingestion-buffer/gdrive_raw/ToALITTERAS_ECOSYSTEM_v2.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/026__AI_CHECKPOINT_FINAL.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/031__AI_READY_CHECKPOINT.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/075__COMPARISON.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/034__AIM_BLUEPRINT.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/072__CLAUDE_HONEST_ASSESSMENT_v2_20260513.md	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/097__GEMINI_CLI_PENULTIMATE_OMEGA_PROMPT.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/089__First_Future_Feature.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/107__Here_is_the_absolute_technical,_structural,_and_behavioral_inventory_of_every_single_element_that_must_exist_within_your_4-layer_UI-UX_narrative_runtime_environment.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/014__Writing_Agent_App._Source_Doc._(8)_[COMBINED]_(1).txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/084__DRIVE_NOT_LOCAL_RAW.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/097__GEMINI_CLI_PENULTIMATE_OMEGA_PROMPT.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/123__NEW_SEC_DOC_(1)_(1).txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/124__NEW_SEC_DOC_(1)_(2).txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/134__NOS_INTEGRATION_BLUEPRINT.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/140__NOS_Master_Diagnostic.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/154__Project_Checkpoint_2.txt	Build
Build	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/199__Termux_Checkpoint_(w-_Gemini_1_(1).txt	Build
parse-by-meaning.js.draft	.gitignore	parse-by-meaning.js.draft
tsconfig.tsbuildinfo	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	tsconfig.tsbuildinfo
tsconfig.tsbuildinfo	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/140__NOS_Master_Diagnostic.txt	tsconfig.tsbuildinfo
run_nos_diagnostics.sh	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	run_nos_diagnostics.sh
run_nos_diagnostics.sh	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/140__NOS_Master_Diagnostic.txt	run_nos_diagnostics.sh
test-db.js	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	test-db.js
test-db.js	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/140__NOS_Master_Diagnostic.txt	test-db.js
export_blueprints.sh	src/data-layer/ingestion-buffer/readme_docs/tier_3_checkpoints/139__NOS_Master_Blueprints.txt	export_blueprints.sh
