status	best_score	local_basename	best_drive_name	best_has_document_xml	local_path
unmatched	0	(A)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_1-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(A)_Chapter_2:_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_2:_Living_Sacrifice.txt
unmatched	0	(A)_Chapter_3_-_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3_-_Lift_Up.txt
unmatched	0	(A)_Chapter_3-_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3-_Lift_Up.txt
unmatched	0	(A)_Chapter_5_-_The_Snare.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_5_-_The_Snare.txt
unmatched	0	(A)_Chapter_6:_Beelzebub,_Beelzebub.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_6:_Beelzebub,_Beelzebub.txt
unmatched	0	(A)_Chapter:_1_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter:_1_Stardust_to_Stardust.txt
unmatched	0	(A)Chapter_8:_Sea_People.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(A)Chapter_8:_Sea_People.txt
unmatched	0	(B)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(B)_Chapter_1-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(B)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(B)_Chapter_1:_Stardust_to_Stardust.txt
