status	best_score	local_basename	best_drive_name	best_drive_id	best_has_document_xml	best_archive_folder	local_path
exact_or_contained	100	-Final_Chapter_1_Revision_Prompt-.txt	-Final Chapter 1 Revision Prompt-	1b0h6T2DlMd-5sm1xGdF1e1Qrgddb2D-PU8P8GZ20Hk0	true	0001__-Final_Chapter_1_Revision_Prompt-__1b0h6T2DlMd-5sm1xGdF1e1Qrgddb2D-PU8P8GZ20Hk0	src/data-layer/ingestion-buffer/gdrive_raw/-Final_Chapter_1_Revision_Prompt-.txt
unmatched	0	(A)_Chapter_1_-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_1-_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_1:_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(A)_Chapter_2-_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(A)_Chapter_2:_Living_Sacrifice.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_2:_Living_Sacrifice.txt
unmatched	0	(A)_Chapter_3_-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3_-_Lift_Up.txt
unmatched	0	(A)_Chapter_3-_Lift_Up.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_3-_Lift_Up.txt
unmatched	0	(A)_Chapter_5_-_The_Snare.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_5_-_The_Snare.txt
unmatched	0	(A)_Chapter_6:_Beelzebub,_Beelzebub.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter_6:_Beelzebub,_Beelzebub.txt
unmatched	0	(A)_Chapter:_1_Stardust_to_Stardust.txt			false		src/data-layer/ingestion-buffer/gdrive_raw/(A)_Chapter:_1_Stardust_to_Stardust.txt
