n	bytes	sha256	path
1	22969	899785761182e45b412ce4d101c004699bdd5aacd75f3aaadfb4d0eb696f6e4e	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)Chapter_8:_Sea_People.txt
2	20031	28590318b4fae25cff6e3cee1a06048ff260f13cc1013530e1d27dad2d8a4905	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter:_1_Stardust_to_Stardust.txt
3	21370	f40487d36d74603424ffe964db3446112e3f1b960a1f10fa8af307c7c3b968af	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_1-_Stardust_to_Stardust.txt
4	21228	126b18314e1ab029e14f7dd285cda564c1a037aed3f13006dd4e91eddc48d5ab	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_1:_Stardust_to_Stardust.txt
5	22015	dfdc70629facb81c42b26d28c0a73a88aeeecb6444e6e21f4e8a19fd239236d6	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_1_-_Stardust_to_Stardust.txt
6	19743	fcf512e159723ae554470e913a6ad87a6aa724e10e1adcf908e23d719706879d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_2-_Living_Sacrifice.txt
7	18467	5f1322392d14770ad22a3e42741375b130077c939c2ce119a922cb0d0e9d52cb	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_2:_Living_Sacrifice.txt
8	22650	0576ba002b54e0a4ef58c7980fb21c02f2914443170091d4728687c593872643	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_3-_Lift_Up.txt
9	20360	dfad2370ac6697b2cf1262036cfa9dc100165572054c3e5ad9360495a0c6035f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_3_-_Lift_Up.txt
10	19805	d4e5d73397c227a6748b593816cb29ca1908f9db663eb640ef01438ff939860e	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_5_-_The_Snare.txt
11	21965	d6ba919b48876cea009e1e10d2debde5a2afd47c0bee512339a2b9890c7aacba	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(A)_Chapter_6:_Beelzebub,_Beelzebub.txt
12	19612	78dc7b5fba0c9f1935f2d03d415ebf47593f9379687929f72ae4241696495405	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)Chapter_8:_Sea_People.txt
15	21506	b5095835452d4d731c0a7a1e191d25eafef8e56a5258bbe531b7fe549c303128	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_1:_Stardust_to_Stardust.txt
17	19692	4f706e1f5d589334da16713f098b0fb60bb5b5312fa1bffa32a2466ca6328225	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_2-_Living_Sacrifice.txt
